source;relationship;target
'Harry G. Sperling';'obtains_from';'Herbert Norman Bier'
'Metropolitan Museum of Art';'has_possession_of';'Youth Kissing an Outstretched Hand'
'Marco Benefial';'has_role';'Artist'
'Erasmus Philipps';'has_possession_of';'Youth Kissing an Outstretched Hand'
'Sir Richard Philipps';'has_possession_of';'Youth Kissing an Outstretched Hand'
'Harry G. Sperling';'has_possession_of';'Mountainous Landscape with Hermits'
'P. & D. Colnaghi & Co.';'sells';'Mountainous Landscape with Hermits'
'Harry G. Sperling';'buys_from';'P. & D. Colnaghi & Co.'
'Mountainous Landscape with Hermits';'comes_from';'Marco Ricci'
'Harry G. Sperling';'has_possession_of';'Virgin Standing on Clouds Holding a Scapular in Her Right Hand'
'Metropolitan Museum of Art';'has_possession_of';'Virgin Standing on Clouds Holding a Scapular in Her Right Hand'
'Giovanni Antonio Pellegrini';'has_role';'Artist'
'Circle of Giovanni Benedetto Castiglione (Il Grechetto)';'has_role';'Artist'
'Animals and Figures before the Ark';'comes_from';'Circle of Giovanni Benedetto Castiglione (Il Grechetto)'
'Metropolitan Museum of Art';'has_possession_of';'Animals and Figures before the Ark'
'Harry G. Sperling';'has_possession_of';'Two Dwarfs Playing Dice, a Dog at Left (recto)'
'Two Dwarfs Playing Dice, a Dog at Left (recto)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Two Dwarfs Playing Dice, a Dog at Left (recto)'
'Metropolitan Museum of Art';'has_possession_of';'River Landscape in Winter with Figures Skating'
'Alan Loebl';'has_possession_of';'River Landscape in Winter with Figures Skating'
'River Landscape in Winter with Figures Skating';'comes_from';'Jan van Goyen'
'Harry G. Sperling';'has_possession_of';'Design for a Frontispiece: Mercury and Fame'
'Design for a Frontispiece: Mercury and Fame';'comes_from';'Francisco Rizi'
'Metropolitan Museum of Art';'has_possession_of';'Allegorical Figure of Faith'
'Harry G. Sperling';'has_possession_of';'Allegorical Figure of Faith'
'Herbert Norman Bier';'has_possession_of';'Allegorical Figure of Faith'
'Metropolitan Museum of Art';'has_possession_of';'Studies of Two Men and a Woman Teaching a Child'
'Studies of Two Men and a Woman Teaching a Child';'comes_from';'Earl of Dalhousie'
'Harry G. Sperling';'has_possession_of';'Allegory of Heaven and Hell'
'Metropolitan Museum of Art';'has_possession_of';'Allegory of Heaven and Hell'
'Claudio Coello';'has_role';'Artist'
'Ornamental Motif Surmounted by a Coat of Arms';'comes_from';"Sotheby's, London"
'Metropolitan Museum of Art';'has_possession_of';'Ornamental Motif Surmounted by a Coat of Arms'
'Metropolitan Museum of Art';'has_possession_of';'Three Dancing Putti'
"Sotheby's, London";'sells';'Three Dancing Putti'
'Three Dancing Putti';'comes_from';"Sotheby's, London"
'Metropolitan Museum of Art';'has_possession_of';'Attributed to Francisco Herrera, the Younger (Spanish, 1627–1685)'
'Frank Hall Standish';'has_possession_of';'Attributed to Francisco Herrera, the Younger (Spanish, 1627–1685)'
'Harry G. Sperling';'has_possession_of';'Madonna and Child Seated on Clouds (recto), Madonna and Child with St. John the Baptist (verso)'
'Metropolitan Museum of Art';'has_possession_of';'Madonna and Child Seated on Clouds (recto), Madonna and Child with St. John the Baptist (verso)'
'Vicente Salvador Gómez';'has_role';'Artist'
'Madonna and Child Seated on Clouds (recto), Madonna and Child with St. John the Baptist (verso)';'comes_from';'Vicente Salvador Gómez'
'Harry G. Sperling';'has_possession_of';'Head of a Woman (recto) Head of a Child, Study of a Hand'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Woman (recto) Head of a Child, Study of a Hand'
'Alessandro Maggiori';'has_possession_of';'Head of a Woman (recto) Head of a Child, Study of a Hand'
'Flying Putto';'comes_from';'Alessandro Maggiori'
'Flying Putto';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Flying Putto'
'Harry G. Sperling';'is_the_owner_of';'Truth Removing the Blinders from the Eyes of Ignorance'
'Metropolitan Museum of Art';'has_possession_of';'Truth Removing the Blinders from the Eyes of Ignorance'
'Cosimo Ulivelli';'has_role';'Artist'
'Truth Removing the Blinders from the Eyes of Ignorance';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Presentation of the Virgin in the Temple'
'Metropolitan Museum of Art';'has_possession_of';'Presentation of the Virgin in the Temple'
'Presentation of the Virgin in the Temple';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with a Shepherd and His Flock'
'Edward Habich';'has_possession_of';'Landscape with a Shepherd and His Flock'
'Edward Habich';'sells';'Landscape with a Shepherd and His Flock'
'Jan Lievens';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Female Personification of Summer or Abundance'
'Female Personification of Summer or Abundance';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Allegory of the Death of Philip IV (1605-1665)'
'Allegory of the Death of Philip IV (1605-1665)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Allegory of the Death of Philip IV (1605-1665)'
'Metropolitan Museum of Art';'has_possession_of';'Auto-da-fé in a Courtyard'
'Paul Leford';'has_possession_of';'Auto-da-fé in a Courtyard'
'Auto-da-fé in a Courtyard';'comes_from';'Sebastián de Herrera-Barnuevo'
'Metropolitan Museum of Art';'has_possession_of';'Study of a Youth with his Head Turned to the Left'
'Jacques de Gheyn II';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Portrait of Piermarino Bernabò'
'Metropolitan Museum of Art';'has_possession_of';'Portrait of Piermarino Bernabò'
'Ottavio Leoni (Il Padovano)';'has_role';'Artist'
'Portrait of Piermarino Bernabò';'comes_from';'Ottavio Leoni (Il Padovano)'
'Landscape with a Walled City and a Large Body of Water';'comes_from';'Circle of Matthijs Cock'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with a Walled City and a Large Body of Water'
'Metropolitan Museum of Art';'has_possession_of';'Four Figures Conversing in a Landscape'
'Frank Hall Standish';'has_possession_of';'Four Figures Conversing in a Landscape'
'Antonio del Castillo y Saavedra';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'The Youthful Baptist with his Parents'
'Frank Hall Standish';'has_possession_of';'The Youthful Baptist with his Parents'
'Metropolitan Museum of Art';'has_possession_of';'Figure of St. Andrew seated in a Landscape'
'Frank Hall Standish';'has_possession_of';'Figure of St. Andrew seated in a Landscape'
'Metropolitan Museum of Art';'has_possession_of';'Italianate River Landscape with an Inn'
'Gaspar Adriaensz. van Wittel';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Figure of St. James the Great Seated in a Landscape'
'Frank Hall Standish';'has_possession_of';'Figure of St. James the Great Seated in a Landscape'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with Roman Ruins'
'Cornelis van Poelenburch';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Half-length Figure of St. Andrew in an Oval'
'Frank Hall Standish';'has_possession_of';'Half-length Figure of St. Andrew in an Oval'
'Half-length Figure of St. Andrew in an Oval';'comes_from';'Antonio del Castillo y Saavedra'
'Metropolitan Museum of Art';'has_possession_of';'Half-length Figure of St Paul in an Oval'
'Frank Hall Standish';'has_possession_of';'Half-length Figure of St Paul in an Oval'
'Harry G. Sperling';'has_possession_of';'The Martyrdom of St. Peter Martyr'
'The Martyrdom of St. Peter Martyr';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'The Standing Virgin Lamenting the Dead Christ'
'The Standing Virgin Lamenting the Dead Christ';'comes_from';'Anonymous, German, 17th century'
'Metropolitan Museum of Art';'has_possession_of';'Circle of Guercino (Giovanni Francesco Barbieri) - Group of Caricatured Figures with an Artist Drawing'
'Circle of Guercino (Giovanni Francesco Barbieri) - Group of Caricatured Figures with an Artist Drawing';'comes_from';'Teodor de Wyzewa'
'Circle of Guercino (Giovanni Francesco Barbieri) - Group of Caricatured Figures with an Artist Drawing';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Barnyard Scene: two birds fighting (recto)'
'Barnyard Scene: two birds fighting (recto)';'comes_from';'Jacob de Vos'
'Harry G. Sperling';'has_possession_of';'Forest Scene, a Halt at the Left, a Hunt at the Right'
'Metropolitan Museum of Art';'has_possession_of';'Forest Scene, a Halt at the Left, a Hunt at the Right'
'Forest Scene, a Halt at the Left, a Hunt at the Right';'comes_from';'Marie Marignane-Patissou'
'Forest Scene, a Halt at the Left, a Hunt at the Right';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Study of a Headless Draped Figure with Arms Crossed'
'Study of a Headless Draped Figure with Arms Crossed';'comes_from';'Attributed to Abraham Bloemaert'
'Harry G. Sperling';'has_possession_of';'Study for a Three-Quarter-Length Portrait of a Man'
'Study for a Three-Quarter-Length Portrait of a Man';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Study for a Three-Quarter-Length Portrait of a Man'
'Metropolitan Museum of Art';'has_possession_of';'Three Putti Holding Cross Before Two Male Saints'
'Frank Hall Standish';'has_possession_of';'Three Putti Holding Cross Before Two Male Saints'
'Three Putti Holding Cross Before Two Male Saints';'comes_from';'Alonso Cano'
'Harry G. Sperling';'has_possession_of';'Figure of a Cleric in Half-Length'
'Metropolitan Museum of Art';'has_possession_of';'Figure of a Cleric in Half-Length'
'Figure of a Cleric in Half-Length';'comes_from';'Harry G. Sperling'
'Figure of a Cleric in Half-Length';'comes_from';'Jacopo Confortini'
'Harry G. Sperling';'has_possession_of';'Alternate Study for the Head of a Youth (Formerly attributed to Jacopo Confortini)'
'Metropolitan Museum of Art';'has_possession_of';'Alternate Study for the Head of a Youth (Formerly attributed to Jacopo Confortini)'
'Metropolitan Museum of Art';'has_possession_of';'Saint Hyacinth Walking on the Waters'
'Dr. and Mrs. Victor Bloch';'sells';'Saint Hyacinth Walking on the Waters'
"Sotheby's";'sells';'Saint Hyacinth Walking on the Waters'
'Saint Hyacinth Walking on the Waters';'comes_from';'Francesco Vanni'
'Harry G. Sperling';'has_possession_of';'The Crucified Christ'
'The Crucified Christ';'comes_from';'Harry G. Sperling'
'Diego Lopez de Escuriaz';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with a Farm House and a Bell Tower'
'Professor John Isaacs';'sells';'Landscape with a Farm House and a Bell Tower'
"Sotheby's, London";'sells';'Landscape with a Farm House and a Bell Tower'
'Metropolitan Museum of Art';'has_possession_of';'Seated Draped Male Figure (recto), Rough Studies of Hands and Feet (verso)'
'Michael Jaffé';'sells';'Seated Draped Male Figure (recto), Rough Studies of Hands and Feet (verso)'
"Sotheby's";'sells';'Seated Draped Male Figure (recto), Rough Studies of Hands and Feet (verso)'
'Seated Draped Male Figure (recto), Rough Studies of Hands and Feet (verso)';'comes_from';'Giovanni Lanfranco'
'Metropolitan Museum of Art';'has_possession_of';'Bust of a Bearded Old Man, Profile to Right'
'Bust of a Bearded Old Man, Profile to Right';'comes_from';'Maurice Marignane'
'Harry G. Sperling';'has_possession_of';'Head of a Bearded Man'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Bearded Man'
'Head of a Bearded Man';'comes_from';'Harry G. Sperling'
'Head of a Bearded Man';'comes_from';'Francisco Pacheco'
'Harry G. Sperling';'has_possession_of';'The Kingdom of Aragon'
'The Kingdom of Aragon';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'The Cornation of Esther by Ahasuerus'
'The Cornation of Esther by Ahasuerus';'comes_from';'Bartolomé Carducho'
'Metropolitan Museum of Art';'has_possession_of';'Adoration of the Shepherds'
'Joachim Beuckelaer';'has_role';'Artist'
'Adoration of the Shepherds';'comes_from';'Netherlandish'
'Samuel van Huls';'has_possession_of';'Adoration of the Shepherds'
'Harry G. Sperling';'has_possession_of';'The Birth of Saint Francis of Assisi'
'Metropolitan Museum of Art';'has_possession_of';'The Birth of Saint Francis of Assisi'
'Camillo Procaccini';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Design for a Lunette Decoration: Coat of Arms'
'Design for a Lunette Decoration: Coat of Arms';'comes_from';'Pomarancio (Cristoforo Roncalli)'
'Metropolitan Museum of Art';'has_possession_of';'The Holy Family with the Infant Baptist, Saint Catherine of Alexandria, and Angels'
'The Holy Family with the Infant Baptist, Saint Catherine of Alexandria, and Angels';'comes_from';'Maurice Marignane'
'The Holy Family with the Infant Baptist, Saint Catherine of Alexandria, and Angels';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Madonna and Child Enthroned with Saint Basil the Great and Saint Apollonia'
"Niccolò dell' Abate";'has_role';'Artist'
'Unidentified French (?) Collector (Lugt 474)';'has_possession_of';'Madonna and Child Enthroned with Saint Basil the Great and Saint Apollonia'
'Harry G. Sperling';'has_possession_of';'Joseph Storing Grain During the Seven Years of Famine'
'Metropolitan Museum of Art';'has_possession_of';'Joseph Storing Grain During the Seven Years of Famine'
'Patrizio Cajés';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'The Wedding Feast at Cana (after Paolo Veronese)'
'The Wedding Feast at Cana (after Paolo Veronese)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Standing Virgin with Child, Two Heads at Upper Left'
'Standing Virgin with Child, Two Heads at Upper Left';'comes_from';'Harry G. Sperling'
'Battista Franco';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'The Three Fates'
'Metropolitan Museum of Art';'has_possession_of';'The Three Fates'
'Luca Cambiaso';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Standing and Seated Figures in a Landscape with Ruins'
'John B. Skippe';'has_possession_of';'Standing and Seated Figures in a Landscape with Ruins'
'Mrs. A. Skippe';'has_possession_of';'Standing and Seated Figures in a Landscape with Ruins'
'Standing and Seated Figures in a Landscape with Ruins';'comes_from';'Giovanni Battista Pittoni the Elder'
'Robert Lehman Collection';'has_possession_of';'View of Rotterdam'
'Maurice Leclanché';'has_possession_of';'View of Rotterdam'
'Maurice Leclanché';'sells';'View of Rotterdam'
'Johan Barthold Jongkind';'has_role';'Artist'
'View of Rotterdam';'comes_from';'Johan Barthold Jongkind'
'Metropolitan Museum of Art';'has_possession_of';'Design for a Candlestick'
'Einar Perman';'sells';'Design for a Candlestick'
'P. & D. Colnaghi & Co.';'sells';'Design for a Candlestick'
'Design for a Candlestick';'comes_from';"Circle of Francesco Salviati (Francesco de' Rossi)"
'Metropolitan Museum of Art';'has_possession_of';'After Moretto da Brescia (Alessandro Bonvicino) - Kneeling St. Francis and St. Nicholas of Bari'
'Gutekunst and Klipstein';'sells';'After Moretto da Brescia (Alessandro Bonvicino) - Kneeling St. Francis and St. Nicholas of Bari'
'Robert Lehman Collection';'has_possession_of';'Saint Simon'
'Walter S. Morgan';'has_possession_of';'Saint Simon'
'Metropolitan Museum of Art';'has_possession_of';'Saint Simon'
'Metropolitan Museum of Art';'obtains_from';'Walter S. Morgan'
'Saint Catherine in the Temple Arguing Against the Philosophers';'comes_from';'Duponchel, France (?)'
'Saint Catherine in the Temple Arguing Against the Philosophers';'comes_from';'Giuseppe Salvadori'
'Metropolitan Museum of Art';'has_possession_of';'Saint Catherine in the Temple Arguing Against the Philosophers'
'Robert Lehman Collection';'donates_to';'Metropolitan Museum of Art'
'Giuseppe Salvadori';'has_possession_of';'Saint Catherine Listening to the Crowds on The'
'Joseph Brummer';'has_possession_of';'Saint Catherine Listening to the Crowds on The'
'Saint Catherine Listening to the Crowds on The';'comes_from';'Flemish'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with an Artist Drawing'
'comte Mauduit';'has_possession_of';'Landscape with an Artist Drawing'
'Landscape with an Artist Drawing';'comes_from';'Claude Lorrain'
'Harry G. Sperling';'has_possession_of';'Architectural Fantasy with Roman Ruins'
'Architectural Fantasy with Roman Ruins';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Architectural Fantasy with Roman Ruins'
'Metropolitan Museum of Art';'has_possession_of';'Laban Searching for his Idols (Genesis 31: 19-35)'
'H. Michel-Lévy Sale';'sells';'Laban Searching for his Idols (Genesis 31: 19-35)'
'Galerie Georges Petit';'sells';'Laban Searching for his Idols (Genesis 31: 19-35)'
'Metropolitan Museum of Art';'has_possession_of';"Studies of a Man's Head in Profile, and of a Standing Man"
'Robert Fullarton Udny';'has_possession_of';"Studies of a Man's Head in Profile, and of a Standing Man"
'The Head of Pompey Presented to Caesar';'comes_from';'Nicholas Lanier'
'The Head of Pompey Presented to Caesar';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'The Head of Pompey Presented to Caesar'
'Harry G. Sperling';'has_possession_of';'Standing Figure of Apollo'
'Harry G. Sperling';'buys_from';"Sotheby's, London"
'Metropolitan Museum of Art';'has_possession_of';'Standing Figure of Apollo'
'Doris Wiener Gallery';'has_possession_of';'Three Polo Players'
'Doris Wiener Gallery';'sells';'Three Polo Players'
'Metropolitan Museum of Art';'purchases';'Three Polo Players'
'Three Polo Players';'comes_from';'India (Rajasthan, Bikaner)'
'Rattle Staff: Oba Akenzua I Standing on an Elephant';'comes_from';'Court of Benin'
'Court of Benin';'has_possession_of';'Rattle Staff: Oba Akenzua I Standing on an Elephant'
'Metropolitan Museum of Art';'has_possession_of';'Rattle Staff: Oba Akenzua I Standing on an Elephant'
'Ann and George Blumenthal Fund';'purchases';'Rattle Staff: Oba Akenzua I Standing on an Elephant'
'Man of Sorrows with Kneeling Donor';'comes_from';'South Netherlandish'
'The Cloisters Collection';'has_possession_of';'Man of Sorrows with Kneeling Donor'
'Emile Renders';'has_possession_of';'Man of Sorrows with Kneeling Donor'
'Emile Renders';'sells';'Man of Sorrows with Kneeling Donor'
'Alfred Stoclet';'has_possession_of';'Man of Sorrows with Kneeling Donor'
'Metropolitan Museum of Art';'has_possession_of';'Man of Sorrows with Kneeling Donor'
'Meissen Manufactory';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Bottle'
'Lesley and Emma Sheafer Collection';'donates_to';'Metropolitan Museum of Art'
'Japanese Palace, Dresden';'comes_from';'Bottle'
'Lesley and Emma Sheafer Collection';'comes_from';'Bottle'
'Pierre Charles Trémolières';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Comedy'
'The Lesley and Emma Sheafer Collection';'donates_to';'Metropolitan Museum of Art'
'Louis François I, prince de Conti';'has_possession_of';'Comedy'
'John J. Klejman';'has_possession_of';'Pectoral Disk'
'Alice K. Bache';'has_possession_of';'Pectoral Disk'
'Pectoral Disk';'comes_from';'Capuli'
'John J. Klejman';'has_possession_of';'Figure Pendant'
'Alice K. Bache';'has_possession_of';'Figure Pendant'
'Figure Pendant';'comes_from';'Colombia'
'John J. Klejman';'sells';'Vishnu on Adisesha'
'John J. Klejman';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Vishnu on Adisesha'
'Vishnu on Adisesha';'comes_from';'Indonesia or Southern Thailand'
'John J. Klejman';'has_possession_of';'Female Figure (tunjo)'
'Alice K. Bache';'has_possession_of';'Female Figure (tunjo)'
'Female Figure (tunjo)';'comes_from';'Muisca'
'Frederick Pleasants';'has_possession_of';'Bowl'
'Metropolitan Museum of Art';'has_possession_of';'Bowl'
'Doris Wiener Gallery';'has_possession_of';'Krishna, Balarama, and the Cowherders: Page from an illustrated manuscript'
'Doris Wiener Gallery';'sells';'Krishna, Balarama, and the Cowherders: Page from an illustrated manuscript'
'Metropolitan Museum of Art';'purchases';'Krishna, Balarama, and the Cowherders: Page from an illustrated manuscript'
'Metropolitan Museum of Art';'obtains_from';'Doris Wiener Gallery'
'Doris Wiener Gallery';'has_possession_of';'Rama and Lakshmana Search in Vain for Sita: Illustration from a Ramayana Series'
'Doris Wiener Gallery';'sells';'Rama and Lakshmana Search in Vain for Sita: Illustration from a Ramayana Series'
'Metropolitan Museum of Art';'purchases';'Rama and Lakshmana Search in Vain for Sita: Illustration from a Ramayana Series'
'Rama and Lakshmana Search in Vain for Sita: Illustration from a Ramayana Series';'comes_from';'India, Rajasthan, Mewar'
'Joseph Brummer';'purchases';'Vessel with heads of horned female deities'
'Joseph Brummer';'buys_from';'Elias S. David'
'Alastair Bradley Martin';'donates_to';'Metropolitan Museum of Art'
'Vessel with heads of horned female deities';'comes_from';'Sumerian'
'Metropolitan Museum of Art';'has_possession_of';'Vessel with heads of horned female deities'
'François André Vincent';'has_role';'Artist'
'Harry G. Sperling Fund';'is_the_owner_of';'Martyrdom of St. Bartholomew'
'Martyrdom of St. Bartholomew';'comes_from';'Mattia Preti'
'Metropolitan Museum of Art';'has_possession_of';'Martyrdom of St. Bartholomew'
'Bronze mirror with a support in the form of a draped woman';'comes_from';'mid-5th century B.C.'
'Bronze mirror with a support in the form of a draped woman';'comes_from';'Greek, Argive'
'Bronze mirror with a support in the form of a draped woman';'has_possession_of';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'obtains_from';'Jean Mikas'
'Metropolitan Museum of Art';'obtains_from';'Walter C. Baker'
"Bracelet with lion's-head terminals";'comes_from';'Iran'
'Walter C. Baker';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';"Bracelet with lion's-head terminals"
'R. L. Messayeh';'has_possession_of';"Bracelet with lion's-head terminals"
'Silver bowl';'comes_from';'Euboea'
'Metropolitan Museum of Art';'has_possession_of';'Silver bowl'
'Brummer Gallery, Paris and New York';'sells';'Crucified Christ'
'Metropolitan Museum of Art';'purchases';'Crucified Christ'
'Crucified Christ';'comes_from';'Brummer Gallery, Paris and New York'
'Marble female figure';'comes_from';'Cycladic'
'Joseph Brummer';'has_possession_of';'Marble female figure'
'Brummer Gallery';'is_the_owner_of';'Joseph Brummer'
'Walter C. Baker';'has_possession_of';'Marble female figure'
'Metropolitan Museum of Art';'has_possession_of';'Marble female figure'
'Metropolitan Museum of Art';'has_possession_of';'Marble male figure'
'Marble male figure';'comes_from';'Cycladic'
'Theodore';'has_possession_of';'Marble male figure'
'Doris Wiener Gallery';'has_possession_of';'Kneeling Female'
'Doris Wiener Gallery';'sells';'Kneeling Female'
'Doris Wiener Gallery';'makes_sale_to';'Metropolitan Museum of Art'
'Kneeling Female';'comes_from';'Thailand or Cambodia'
'Metropolitan Museum of Art';'has_possession_of';'Kneeling Female'
'Lord Rothschild';'sells';'Saint Joseph and the Christ Child'
"Christie's, London";'makes_sale_to';'Klejman'
'Klejman';'sells';'Saint Joseph and the Christ Child'
'Klejman';'makes_sale_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Saint Joseph and the Christ Child'
'John J. Klejman';'has_possession_of';'Plate'
'John J. Klejman';'sells';'Plate'
'Metropolitan Museum of Art';'purchases';'Plate'
'Plate';'comes_from';'first half 18th century'
'Harry G. Sperling';'has_possession_of';"Henri Manuel | Sarah Bernhardt dans'Angelo', Mars 1905"
'Harry G. Sperling';'donates_to';'Metropolitan Museum of Art'
"Henri Manuel | Sarah Bernhardt dans'Angelo', Mars 1905";'comes_from';'Estate of Harry G. Sperling'
'Henri Manuel';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';"Henri Manuel | Sarah Bernhardt dans'Angelo', Mars 1905"
'Mr. and Mrs. Charles Wrightsman';'donates_to';'Metropolitan Museum of Art'
'Pair of three-light wall brackets';'comes_from';'J. Guedes de Souza, Lisbon, Portugal'
'Pair of three-light wall brackets';'comes_from';'J. J. Klejman'
'Metropolitan Museum of Art';'has_possession_of';'Pair of three-light wall brackets'
'David Hunter McAlpin Fund';'has_possession_of';'San Francisco Earthquake and Fire - 1906'
'San Francisco Earthquake and Fire - 1906';'comes_from';'Harvey Brewer'
'Metropolitan Museum of Art';'has_possession_of';'San Francisco Earthquake and Fire - 1906'
'Klejman';'sells';'Syrup jug'
'Klejman';'makes_sale_to';'Metropolitan Museum of Art'
'Syrup jug';'comes_from';'Peter Eggebrecht'
'Metropolitan Museum of Art';'has_possession_of';'Syrup jug'
'John J. Klejman';'has_possession_of';'Eagle Pendant'
'H. L. Bache Foundation';'has_possession_of';'Eagle Pendant'
'H. L. Bache Foundation';'donates_to';'Metropolitan Museum of Art'
'Eagle Pendant';'comes_from';'Veraguas'
'Metropolitan Museum of Art';'has_possession_of';'Juan Gris'
'Metropolitan Museum of Art';'has_possession_of';'Amedeo Modigliani'
'private collection, United States';'has_possession_of';'Juan Gris'
'private collection, United States';'has_possession_of';'Amedeo Modigliani'
'Metropolitan Museum of Art';'purchases';'Table | China | Qing dynasty (1644–1911)'
'Gunn & Latchford, Inc.';'has_possession_of';'Table | China | Qing dynasty (1644–1911)'
'Gunn & Latchford, Inc.';'sells';'Table | China | Qing dynasty (1644–1911)'
'Gunn & Latchford, Inc.';'makes_sale_to';'Metropolitan Museum of Art'
'Edouard Manet';'has_role';'Artist'
'Madame Edouard Manet (Suzanne Leenhoff, 1829–1906)';'comes_from';'Edouard Manet'
'Metropolitan Museum of Art';'has_possession_of';'Madame Edouard Manet (Suzanne Leenhoff, 1829–1906)'
'Miss Adelaide Milton de Groot (1876–1967)';'donates_to';'Metropolitan Museum of Art'
'Émile Schuffenecker';'sells';'Still Life'
'Émile Schuffenecker';'sells';'Schuffenecker'
'Miss Adelaide Milton de Groot';'donates_to';'Metropolitan Museum of Art'
'Still Life';'comes_from';'Style of Paul Gauguin'
'Metropolitan Museum of Art';'has_possession_of';'The Lighthouse at Honfleur'
'Valentine Gallery and Pierre Matisse';'has_possession_of';'The Lighthouse at Honfleur'
'Raoul Dufy';'has_role';'Artist'
'Adelaide Milton de Groot';'has_possession_of';'Still Life by Georges Braque'
'Adelaide Milton de Groot';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Still Life by Georges Braque'
'Still Life by Georges Braque';'comes_from';'Georges Braque'
'Adelaide Milton de Groot';'has_possession_of';'Lilacs and Peonies'
'Lilacs and Peonies';'comes_from';'Adelaide Milton de Groot'
'Metropolitan Museum of Art';'has_possession_of';'Lilacs and Peonies'
'Adelaide Milton de Groot';'has_possession_of';'Man with Horse'
'Metropolitan Museum of Art';'has_possession_of';'Man with Horse'
'Seated Male Figure';'comes_from';'Count Donà dalle Rose, Palazzo Garzoni, Ponte'
'Metropolitan Museum of Art';'obtains_from';'Count Donà dalle Rose, Palazzo Garzoni, Ponte'
'Mr. and Mrs. J. J. Klejman';'donates_to';'Metropolitan Museum of Art'
'Bowl with a radiating petal design';'comes_from';'Phrygian or Lydian'
'Metropolitan Museum of Art';'has_possession_of';'Bowl with a radiating petal design'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: private letter | Old Assyrian Trading Colony'
'Cuneiform tablet: private letter | Old Assyrian Trading Colony';'comes_from';'Old Assyrian Trading Colony'
'Cuneiform tablet: private letter fragment';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: private letter fragment'
'Cuneiform tablet case impressed with four cylinder seals';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet case impressed with four cylinder seals'
'Cuneiform tablet case impressed with three cylinder seals';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet case impressed with three cylinder seals'
'Cuneiform tablet case impressed with five cylinder seals';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet case impressed with five cylinder seals'
'Cuneiform tablet: court deposition | Old Assyrian Trading Colony';'comes_from';'Old Assyrian Trading Colony'
'Metropolitan Museum of Art';'has_possession_of';'Cuneiform tablet: court deposition | Old Assyrian Trading Colony'
'Cuneiform tablet: statement before witnesses';'comes_from';'Old Assyrian Trading Colony'
